"gene_id","GEL_AT_immature_top_leaf_R1","GEL_AU_immature_top_leaf_R2","GEL_AV_immature_top_leaf_R3","GEL_AW_mature_middle_leaf_R1","GEL_AX_mature_middle_leaf_R2","GEL_AY_mature_middle_leaf_R3","GEL_AZ_mature_bottom_leaf_R1","GEL_BA_mature_bottom_leaf_R2","GEL_BB_mature_bottom_leaf_R3","GEL_BC_immature_top_stem_R1","GEL_BD_immature_top_stem_R2","GEL_BE_immature_top_stem_R3","GEL_BI_primary_root_R1","GEL_BJ_primary_root_R2","GEL_BK_primary_root_R3","GEL_BL_secondary_root_R1","GEL_BM_secondary_root_R2","GEL_BN_secondary_root_R3"
"Gelse.v1.S000320.1",22.027,21.1147,27.1439,14.8192,13.6403,12.7133,9.3746,8.70286,9.23165,33.8865,25.1952,36.8797,29.6579,20.6849,21.0612,33.6185,22.4281,26.2237
"Gelse.v1.S258150.4",14.5867,7.13359,14.5721,14.5732,15.4576,19.5414,19.7589,16.0897,17.0854,14.9417,18.6753,12.0168,15.5874,18.7337,14.8389,14.9766,20.5669,17.6997
"Gelse.v1.S207000.1",16.0532,14.2911,13.6101,20.4916,26.4428,36.8096,19.0887,21.0485,20.4627,21.8962,17.7212,20.2358,20.5517,26.1295,16.9701,20.6894,28.4344,16.5519
"Gelse.v1.S245620.1",14.9027,34.7344,14.9351,12.7838,13.9782,7.13657,4.28138,6.82592,3.61435,14.0147,8.03632,17.8706,39.9321,44.3241,64.5298,85.8319,61.091,121.108
"Gelse.v1.S155550.1",272.509,282.41,270.297,302.043,320.202,215.744,243.045,172.169,177.654,348.106,266.791,297.557,487.129,543.314,564.82,488.916,561.7,480.465
"Gelse.v1.S241160.1",3.57235,8.77172,3.43592,2.74393,7.73395,11.6373,3.19587,3.30378,3.93357,0.628762,0.963582,0.769036,0.58048,2.34229,0.322913,0.276033,0.283054,0.415588
"Gelse.v1.S161520.1",13.2668,8.43786,14.6461,5.87607,4.46157,4.30737,4.64665,3.7054,4.19061,15.2867,12.8574,8.48827,4.65281,4.35052,4.04637,5.10194,1.9713,4.75422
"Gelse.v1.S125260.2",16.6335,11.3773,13.988,15.601,13.6144,14.7548,15.2178,14.4074,13.1585,17.1829,15.4478,15.2549,14.9865,15.2105,12.1886,16.2564,15.9729,13.9021
"Gelse.v1.S232730.1",0.891707,4.36551,6.36032,0.522527,2.52679,4.62652,0.0485331,1.82642,1.43503,5.78027,12.5432,3.78059,2.03011,2.369,3.2034,2.56755,1.64519,2.81601
"Gelse.v1.S172220.2",19.7929,11.7513,20.6181,15.3904,13.2711,13.6401,14.6575,13.7037,14.3738,21.6912,20.4603,17.7346,22.1787,20.6191,19.849,18.9763,20.4002,19.9893
"Gelse.v1.S266740.2",13.4286,7.91585,14.6623,9.26992,8.35761,8.67448,9.32813,7.83935,7.02597,14.6219,14.0126,12.5744,7.55198,7.87387,7.6945,10.051,7.67925,9.1093
"Gelse.v1.S139280.1",16.8411,13.2824,19.0461,14.2475,15.3779,15.5615,14.7689,11.6712,11.5477,15.4633,16.9404,13.7811,12.1277,9.36339,9.83897,15.078,11.0334,15.0537
"Gelse.v1.S193240.1",3.29263,1.22102,4.16823,2.65555,2.44406,2.43269,2.17296,1.74904,2.28101,2.92211,3.76195,2.05207,1.79714,2.08997,1.5817,1.355,1.41925,1.26559
"Gelse.v1.S272120.1",1.07154,1.34584,0.48304,3.66463,4.05668,5.10909,1.60468,1.89419,4.06367,0.266169,0.534762,0.829632,0.129947,0.0276299,0.120265,0.0614832,0.0540867,0
